age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,score
0.9583333333333334,0.5,0.0,0.16666666666666666,0.20370370370370372,0.0,0.85,0.8,1.0,0.8,0.0
0.8333333333333334,0.5,0.8313253012048193,0.38888888888888884,0.4259259259259259,0.0,0.973,0.45999999999999996,1.0,0.8,1.0
0.875,0.0,0.1686746987951807,0.4305555555555556,0.24074074074074073,0.0,0.948,0.8,0.16666666666666666,0.1,0.0
0.9583333333333334,0.5,0.12048192771084336,0.5416666666666666,0.18518518518518517,0.0,0.71,0.9199999999999999,0.6666666666666666,0.1,0.0
0.7916666666666666,0.5,0.6024096385542168,0.6111111111111112,0.09259259259259259,0.0,0.909,0.49000000000000005,0.5,0.1,0.0
1.0,0.0,0.8674698795180722,0.18055555555555555,0.0,0.0,0.8290000000000001,0.74,0.16666666666666666,0.4,1.0
0.875,0.5,0.6746987951807228,0.20833333333333331,0.25925925925925924,1.0,0.858,0.65,0.3333333333333333,0.4,1.0
0.875,0.5,0.5180722891566264,0.1388888888888889,0.37037037037037035,1.0,0.777,0.45999999999999996,0.0,0.8,1.0
0.9583333333333334,0.5,0.5301204819277109,0.3055555555555556,0.31481481481481477,0.0,1.0,0.71,0.5,0.1,1.0
0.75,0.5,0.5783132530120482,0.4305555555555556,0.24074074074074073,0.0,0.9540000000000001,0.75,0.8333333333333334,1.0,1.0
0.7916666666666666,0.5,0.5542168674698794,0.513888888888889,0.14814814814814814,0.0,0.7759999999999999,0.58,0.16666666666666666,0.3,0.0
0.9583333333333334,0.0,0.4698795180722891,0.3333333333333333,0.4629629629629629,0.0,0.7170000000000001,0.79,0.3333333333333333,0.1,1.0
0.7916666666666666,0.5,0.4457831325301205,0.2916666666666667,0.07407407407407407,1.0,0.8109999999999999,0.45,0.16666666666666666,0.9,1.0
0.7916666666666666,0.5,0.4096385542168674,0.375,0.5,0.0,0.893,0.47000000000000003,0.6666666666666666,1.0,1.0
1.0,0.0,0.2891566265060241,0.20833333333333331,0.12962962962962962,0.0,0.8740000000000001,0.67,1.0,0.9,1.0
0.875,0.0,0.37349397590361444,0.6944444444444444,0.18518518518518517,0.0,0.975,0.65,1.0,0.7,1.0
0.8333333333333334,0.0,0.12048192771084336,0.08333333333333333,0.037037037037037035,0.0,0.929,0.5599999999999999,0.5,0.8,0.0
1.0,0.5,0.4096385542168674,0.375,0.2222222222222222,0.0,0.9470000000000001,0.75,0.0,0.1,1.0
1.0,1.0,0.24096385542168672,0.6805555555555556,0.537037037037037,1.0,0.883,0.71,0.3333333333333333,0.5,0.0
0.7916666666666666,0.0,0.21686746987951805,0.3472222222222222,0.4444444444444444,0.0,0.711,0.75,0.16666666666666666,0.2,0.0
0.9166666666666666,0.5,0.45783132530120474,0.3194444444444444,0.537037037037037,0.0,0.83,0.64,0.5,0.1,0.0
0.875,0.0,0.6746987951807228,0.2916666666666667,0.4444444444444444,0.0,0.956,0.72,0.16666666666666666,0.3,1.0
0.75,1.0,0.5903614457831325,0.3194444444444444,0.1111111111111111,0.0,0.845,0.6,0.5,0.7,1.0
1.0,0.5,0.13253012048192772,0.5694444444444444,0.25925925925925924,1.0,0.9,0.9,1.0,0.1,0.0
0.8333333333333334,0.5,0.24096385542168672,0.0,0.16666666666666666,1.0,0.818,0.55,0.6666666666666666,0.2,0.0
0.9166666666666666,0.0,0.5903614457831325,0.5972222222222222,0.611111111111111,0.0,0.747,0.9,0.16666666666666666,0.2,0.0
0.9166666666666666,0.0,0.24096385542168672,0.11111111111111112,0.09259259259259259,0.0,0.838,0.65,0.6666666666666666,0.4,1.0
0.75,0.0,0.38554216867469876,0.3055555555555556,0.5185185185185185,1.0,0.8809999999999999,0.48,0.8333333333333334,0.3,1.0
1.0,0.0,0.5180722891566264,0.2777777777777778,0.5185185185185185,1.0,0.784,0.8099999999999999,0.8333333333333334,0.3,1.0
0.8333333333333334,0.5,0.24096385542168672,0.4444444444444445,0.7037037037037036,1.0,0.826,0.67,1.0,1.0,1.0
0.875,0.5,0.4457831325301205,0.08333333333333333,0.24074074074074073,0.0,0.7559999999999999,0.75,0.3333333333333333,0.5,1.0
0.7083333333333334,1.0,0.18072289156626503,0.4305555555555556,0.48148148148148145,1.0,0.9620000000000001,0.8,0.6666666666666666,0.3,0.0
0.8333333333333334,1.0,0.3132530120481928,0.6805555555555556,0.7962962962962962,0.0,0.821,0.6900000000000001,0.5,0.7,0.0
0.75,0.5,0.48192771084337344,0.125,0.20370370370370372,0.0,0.995,0.58,0.3333333333333333,0.5,1.0
